"GENE_NAME"	"SEU227"	"SEU235"	"SEU239"	"SLU227"	"SLU235"	"SLU239"
"NOC2L"	36.4804863507643	28.4289884177468	38.9260233777216	28.968916047498	25.5112903737865	26.1485889511123
"AGRN"	13.259044691539	9.39171938800565	15.1115253356602	9.83703833698462	12.7556451868933	9.44483733407685
"C1orf159"	6.37593405931928	6.09192608951718	7.00193713196822	4.8410621737129	4.29965568097526	8.2487662306348
"SDF4"	9.20163210833578	5.80183437096874	11.3534234851688	6.31274507452162	5.87619609733285	7.67135259449036
"B3GALT6"	13.4401791818605	13.2354346587724	13.4500487280745	12.5480331542638	11.7165617306576	10.9296152555911
"UBE2J2"	21.5912312463312	19.9800671150236	20.5311037937373	18.4347647574987	19.7067552044699	19.0134061616132
"ACAP3"	3.36910151998121	1.70428884647207	3.79766081733869	2.51735233033071	2.61562387259328	2.30965454457774
"CPSF3L"	23.8372989263187	21.1041725243988	25.317738782258	22.3850714912485	20.8891605167381	16.9099707728013
"DVL1"	1.63021041289413	0.652706366733983	1.70103557443296	0.890755439963174	1.03908345623569	0.783632791910306
"MXRA8"	4.78195054448946	2.24821081875039	3.91633771788053	3.25319378073507	3.18891129672332	3.05204350533488
"AURKAIP1"	1.66643731095845	0.94279808528242	2.5317738782258	1.2005834190808	0.609117888138161	0.907364285369828
"CCNL2"	85.8215215143601	76.0765531893276	94.3876948976054	104.179657978302	107.025595992276	78.3220353598774
"MRPL20"	16.8092807018417	18.6746543815556	21.915667633392	19.441705689631	20.7458386607056	19.8795266158299
"ATAD3B"	7.31783340899145	7.28855442852948	8.42605993847023	8.63645491790382	7.56022790571483	6.47528149104832
"ATAD3A"	3.15174013159533	3.48110062258124	4.62839912113153	3.02082279639685	3.65470732882897	2.10343538881187
"SSU72"	46.0443874397432	51.6000644368032	51.070626199836	41.5169492017618	40.2017806171187	42.0274639450843
"CDK11B"	6.55706854964085	5.04034360977909	5.93384502709171	4.49250569720557	4.69379078506465	4.45433376454279
"SLC35E2B"	23.1489878630967	20.3064202983906	17.5641812801915	17.7376518044841	18.8468240682749	17.5698720712521
"CDK11A"	23.0040802708394	26.3983463879078	26.74186158876	28.0781606075348	32.1040957512819	26.8084902495631
"SLC35E2"	9.88994317155775	7.79621493598925	6.01296296078626	7.35841450404361	7.30941465765794	6.31030616643562
"NADK"	23.293895455354	21.1766954540359	22.9837597382685	16.7694393697415	17.0911313318766	15.878874993972
"GNB1"	556.15533908335	536.669679314609	591.643908167891	505.600533422575	498.831719921146	526.39501700796
"C1orf222"	1.05058004386511	1.45045859274219	1.18676900541834	0.96821243474258	1.00325299222756	0.577413636144436
"PRKCZ"	4.02118568513886	3.29979329848847	4.35148635320059	2.98209429900715	3.47555500878833	3.42323798571344
"C1orf86"	4.12986637933181	3.58988501703691	3.5998659831023	2.86590880683804	2.72311526461766	2.35089837573092
"SKI"	48.8700854887597	47.9013950253107	49.4882675259448	41.2458497200339	39.6284931929886	40.7489051793359
"MORN1"	12.2446915457382	10.2257330788324	10.8787158830015	11.7347347090801	11.5374094106169	9.32110584061732
"RER1"	94.697111540117	80.1378372490057	91.6581261851432	98.8351253385226	97.2797097820652	87.4369220447289
"PEX10"	4.49213535997495	3.62614648185546	5.34046052438254	4.91851916849231	4.55046892903215	4.33060227108327
"PANK4"	4.74572364642515	2.75587132621015	4.54928118743698	4.37632020503646	3.8338596488696	4.04189545301105
"FAM213B"	6.70197614189811	6.05566462469862	5.73605019285532	4.56996269198498	4.44297753700777	5.2379665564531
"MEGF6"	2.42720217030904	2.28447228356894	3.75810185049141	1.74278238253664	2.14982784048763	2.47462986919044
"TPRG1L"	25.8660052179203	23.533690667242	26.464948820829	24.5538673450718	25.0096638776727	23.3027646015433
"WRAP73"	7.35406030705576	4.20632991895234	5.49869639177165	5.46071813194815	5.08792588915405	4.24811460877692
"TP73"	0.905672451607852	0.761490761189647	1.18676900541834	0.929483937352877	1.28989670429258	1.15482727228887
"LRRC47"	20.6131049985947	22.9172457653265	22.5090521361012	20.7197461034912	22.537361861112	22.0242058357949
"CEP104"	48.5078165081166	42.9698358099872	42.7236841950603	47.364952307607	40.1659501531105	43.388510373139
"DFFB"	10.614481132844	9.64554964173553	9.0194444411794	10.2630518082714	9.71005574620246	10.0634948013745
"C1orf174"	22.8953995766465	22.4458467226853	21.0058113959046	20.9521170878294	21.6416002609088	20.9931100569656
"AJAP1"	2.10116008773022	2.17568788911328	1.9779483423639	2.01388186426457	1.36155763230883	1.77348473958648
"NPHP4"	7.57142169544165	6.16444901915429	7.27884989989916	6.31274507452162	5.55372192125971	4.94925973838088
"KCNAB2"	6.23102646706202	4.17006845413378	4.39104532004786	4.64741968676439	5.23124774518656	4.00065162185788
"RPL22"	486.780829290188	555.416856625801	469.881408211969	571.438978985071	546.378745659931	538.149508886614
"RNF207"	4.60081605416789	5.58426558205741	4.8657529222152	4.45377719981587	5.23124774518656	4.00065162185788
"ICMT"	234.858980150948	251.545781446313	239.292190459185	239.768127339653	228.347547123794	224.902611278258
"GPR153"	1.63021041289413	1.45045859274219	1.10765107172379	1.70405388514694	1.64820134437385	1.27855876574839
"ACOT7"	9.09295141414284	5.47548118760175	8.70297270640117	6.73875854580836	5.37456960121907	8.00130324371576
"TNFRSF25"	1.30416833031531	1.1966283390123	1.50324074019657	1.00694093213228	1.82735366441448	1.03109577882935
"PLEKHG5"	3.55023601030278	2.21194935393183	2.84824561300402	2.3624383407719	2.9022675846583	1.97970389535235
